"Var1","Freq"
"1",2
"10A",11
"11A",9
"11D",9
"12A",1
"13",2
"14",19
"15A",7
"15BC",10
"15C",10
"16F",3
"17F",5
"18B",3
"18C",3
"19A",20
"19F",26
"20",1
"21",2
"22A",3
"22F",12
"23A",6
"23B",7
"23F",37
"3",4
"31",7
"33A",1
"33F",2
"34",3
"35A",3
"35B",14
"35F",10
"37",3
"38",2
"4",7
"5",2
"6A",52
"6B",13
"6C",17
"6E",14
"7A",1
"7B",2
"7C",1
"8",1
"9L",5
"9N",2
"9V",18
"NT",15
